name,address,city,state,source_url
Yavapai College,1100 E Sheldon St,Prescott,AZ,https://databayou.com/usofa/colleges.html
University of Arkansas at Little Rock,2801 S University Ave,Little Rock,AR,https://databayou.com/usofa/colleges.html
University of Arkansas for Medical Sciences,4301 W Markham,Little Rock,AR,https://databayou.com/usofa/colleges.html
ABC Beauty College Inc,203 S 26th Street,Arkadelphia,AR,https://databayou.com/usofa/colleges.html
Arkansas Baptist College,1621 Dr. Martin Luther King Drive,Little Rock,AR,https://databayou.com/usofa/colleges.html
Arkansas Beauty School-Little Rock,5108 Baseline Rd,Little Rock,AR,https://databayou.com/usofa/colleges.html
Arkansas Beauty College,109 N Commerce St,Russellville,AR,https://databayou.com/usofa/colleges.html
Lyon College,2300 Highland Road,Batesville,AR,https://databayou.com/usofa/colleges.html
Arkansas College of Barbering and Hair Design,200 E Washington Ave,North Little Rock,AR,https://databayou.com/usofa/colleges.html
Arthur's Beauty College Inc-Fort Smith,2000 North B St,Fort Smith,AR,https://databayou.com/usofa/colleges.html
University of Arkansas,Administration Bldg 425,Fayetteville,AR,https://databayou.com/usofa/colleges.html
University of Arkansas at Pine Bluff,1200 N University Mail Slot 4789,Pine Bluff,AR,https://databayou.com/usofa/colleges.html
Arkansas State University-Beebe,1000 Iowa Street,Beebe,AR,https://databayou.com/usofa/colleges.html
Arkansas State University-Main Campus,2105 E. Aggie Road,Jonesboro,AR,https://databayou.com/usofa/colleges.html
Arkansas Tech University,Administration Bldg 200; 1509 N Boulder Ave,Russellville,AR,https://databayou.com/usofa/colleges.html
University of Arkansas at Monticello,Highway 425 South,Monticello,AR,https://databayou.com/usofa/colleges.html
Arthur's Beauty College Inc-Jacksonville,2600 John Harden Dr,Jacksonville,AR,https://databayou.com/usofa/colleges.html
Baptist Health College-Little Rock,11900 Col Glenn Rd Ste 1000,Little Rock,AR,https://databayou.com/usofa/colleges.html
Black River Technical College,1410 Hwy 304 East,Pocahontas,AR,https://databayou.com/usofa/colleges.html
University of Central Arkansas,201 Donaghey Ave,Conway,AR,https://databayou.com/usofa/colleges.html
Central Baptist College,1501 College Avenue,Conway,AR,https://databayou.com/usofa/colleges.html
Cossatot Community College of the University of Arkansas,183 College Drive,De Queen,AR,https://databayou.com/usofa/colleges.html
Crowley's Ridge College,100 College Dr,Paragould,AR,https://databayou.com/usofa/colleges.html
Crowley's Ridge Technical Institute,1620 Newcastle Road,Forrest City,AR,https://databayou.com/usofa/colleges.html
East Arkansas Community College,1700 Newcastle Rd,Forrest City,AR,https://databayou.com/usofa/colleges.html
Eastern College of Health Vocations-Little Rock,200 South University Avenue,Little Rock,AR,https://databayou.com/usofa/colleges.html
Imagine-Paul Mitchell Partner School,4201 E McCain Blvd,North Little Rock,AR,https://databayou.com/usofa/colleges.html
National Park Community College,101 College Dr,Hot Springs,AR,https://databayou.com/usofa/colleges.html
University of Arkansas Community College-Batesville,2005 White Drive,Batesville,AR,https://databayou.com/usofa/colleges.html
Harding University,915 E. Market Ave.,Searcy,AR,https://databayou.com/usofa/colleges.html
Henderson State University,1100 Henderson Street,Arkadelphia,AR,https://databayou.com/usofa/colleges.html
Hendrix College,1600 Washington Ave,Conway,AR,https://databayou.com/usofa/colleges.html
Hot Springs Beauty College,100 Cones Rd,Hot Springs,AR,https://databayou.com/usofa/colleges.html
Jefferson Regional Medical Center School of Nursing,1600 West 40th St,Pine Bluff,AR,https://databayou.com/usofa/colleges.html
John Brown University,2000 W University St,Siloam Springs,AR,https://databayou.com/usofa/colleges.html
Lees School of Cosmetology,2700 W. Pershing Blvd,North  Little Rock,AR,https://databayou.com/usofa/colleges.html
Career Academy of Hair Design,346 E. Robinson Ave,Springdale,AR,https://databayou.com/usofa/colleges.html
Academy of Salon and Spa,311 S 16th St,Fort Smith,AR,https://databayou.com/usofa/colleges.html
Arkansas State University Mid-South,2000 W.  Broadway,West Memphis,AR,https://databayou.com/usofa/colleges.html
Arkansas Northeastern College,2501 S Division,Blytheville,AR,https://databayou.com/usofa/colleges.html
Margaret's Hair Academy Inc,305 East Gaines Street,Monticello,AR,https://databayou.com/usofa/colleges.html
New Tyler Barber College Inc,1221 E 7th St,North Little Rock,AR,https://databayou.com/usofa/colleges.html
North Arkansas College,1515 Pioneer Dr,Harrison,AR,https://databayou.com/usofa/colleges.html
Northwest Technical Institute,709 S Old Missouri Rd,Springdale,AR,https://databayou.com/usofa/colleges.html
Ouachita Baptist University,410 Ouachita St,Arkadelphia,AR,https://databayou.com/usofa/colleges.html
College of the Ouachitas,One College Circle,Malvern,AR,https://databayou.com/usofa/colleges.html
